electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
30,64,62,24,18,9,11,11
26,82,66,19,5,5,2,5
32,64,67,23,12,6,10,9
59,87,54,42,28,13,8,20
52,67,39,19,18,13,7,12
2,8,7,82,31,6,0,0
40,103,69,102,55,91,54,24
34,99,71,101,50,107,40,10
27,111,56,100,51,114,42,2
42,105,69,92,55,107,58,14
49,114,85,94,42,119,80,30
42,109,71,86,44,109,60,16
48,121,84,90,36,111,71,36
70,129,99,97,59,119,74,51
43,120,76,97,37,106,52,5
32,121,80,90,28,107,35,6
51,122,105,93,50,125,73,28
58,128,89,88,38,124,71,43
66,111,77,88,44,129,62,54
33,113,77,90,50,112,67,15
22,98,66,106,61,113,54,11
23,110,70,103,60,106,53,8
51,109,86,92,57,134,97,25
87,129,101,100,66,133,96,65
39,109,81,85,46,119,52,12
27,117,67,100,35,88,46,5
1,85,37,95,27,86,27,0
7,33,71,53,9,6,1,3
8,16,46,47,6,18,14,10
3,31,22,29,4,3,2,2
3,17,15,34,5,11,14,14
5,13,28,33,5,9,12,8
4,25,70,63,2,2,13,18
2,9,52,10,0,2,5,6
4,26,71,27,3,8,15,8
1,22,41,11,0,6,9,6
9,19,46,9,1,9,6,9
5,9,7,31,32,1,2,14
12,22,25,66,28,17,14,15
3,5,13,38,21,1,3,2
7,12,31,79,17,8,9,10
4,9,22,75,28,7,7,5
3,8,12,33,7,4,6,12
1,6,23,79,18,6,5,5
7,15,34,72,23,5,6,5
11,18,36,96,12,16,17,17
1,13,31,79,29,5,5,4
7,21,43,88,16,8,6,10
41,49,83,57,27,33,36,31
38,51,45,20,24,30,32,30
46,40,50,36,30,38,40,31
53,77,79,23,16,23,27,29
53,74,89,37,33,42,45,44
42,52,88,38,29,34,39,33
36,46,76,40,18,32,33,28
30,36,47,37,16,20,27,19
46,55,80,32,29,38,44,38
41,63,93,37,19,40,38,35
60,54,109,95,71,70,88,50
37,46,112,82,53,61,73,46
37,46,112,79,47,57,75,47
30,41,113,67,37,62,81,30
24,33,102,63,45,62,81,30
21,40,108,60,34,72,72,23
22,28,99,76,46,70,80,28
13,17,100,58,28,53,64,14
10,25,97,46,29,50,68,12
21,38,102,53,40,56,69,28
22,21,76,48,25,58,59,17
13,27,99,50,29,48,56,11
9,32,90,45,37,62,71,14
13,34,102,50,36,63,73,13
20,37,111,37,35,69,74,15
11,32,114,66,25,55,59,16
22,43,107,67,19,30,51,37
14,36,116,76,31,57,67,18
21,22,96,59,35,64,65,16
14,34,93,62,49,62,56,23
1,73,79,18,32,14,1,0
42,95,117,54,29,64,24,13
40,89,103,51,32,68,38,34
31,91,105,49,34,64,20,27
57,92,117,61,46,62,32,25
15,85,119,50,38,57,20,6
23,84,120,51,30,58,24,9
18,84,115,63,27,38,9,4
31,94,101,59,30,42,15,16
36,93,111,54,37,52,12,7
28,98,118,49,33,56,26,12
3,74,90,16,27,53,12,1
50,57,118,43,14,21,25,28
52,26,102,48,18,7,8,14
57,20,118,51,11,7,8,13
46,16,123,53,8,3,5,5
46,21,98,36,5,6,1,10
21,16,89,23,5,7,9,7
37,24,86,16,5,7,7,10
58,27,97,33,13,7,18,37
59,25,101,26,8,5,11,22
50,50,117,40,4,4,8,13
29,100,124,59,11,7,5,10
27,83,113,67,10,2,11,5
28,98,120,62,9,7,12,12
36,82,110,59,12,11,12,5
14,94,112,58,8,3,2,6
19,80,109,69,8,2,5,3
20,92,111,67,6,2,6,3
22,84,111,82,14,1,3,1
11,74,116,60,6,2,4,2
7,73,95,47,6,1,8,1
1,45,100,72,4,0,0,0
