electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
55,116,130,67,26,61,82,49
72,127,130,76,20,54,102,51
59,119,125,78,29,57,91,56
64,121,134,80,29,71,105,65
58,133,125,73,21,65,82,52
71,134,128,96,31,77,104,61
61,135,127,86,22,69,86,49
56,126,125,95,19,55,80,50
54,123,131,83,20,64,92,55
62,120,122,83,21,73,97,41
56,121,126,65,16,63,93,44
58,124,130,88,22,61,83,46
72,117,134,84,27,60,84,60
62,128,128,102,30,66,95,52
71,131,128,106,36,69,87,62
49,127,127,98,22,65,103,48
67,127,131,99,35,69,95,60
50,124,129,104,25,56,90,49
52,123,129,102,21,77,102,59
61,114,127,85,28,61,91,61
75,125,127,97,28,74,100,43
69,123,129,83,16,79,112,66
58,126,128,95,21,50,83,46
65,126,126,92,18,63,93,42
64,127,128,88,33,60,95,53
85,132,140,90,28,90,107,74
80,124,131,92,23,71,80,71
86,136,134,95,15,49,74,49
69,133,131,73,19,56,77,46
18,79,81,34,2,10,23,3
24,92,84,15,11,46,79,37
15,88,51,7,12,41,72,28
15,82,56,8,10,54,76,27
16,87,47,6,3,46,82,25
19,66,49,12,7,55,82,28
11,75,60,9,5,49,79,30
11,81,54,12,3,51,85,29
9,87,35,5,2,38,79,20
14,101,33,5,5,42,91,24
6,74,55,9,5,47,90,18
13,93,39,6,1,40,81,17
8,69,38,5,1,48,73,22
16,80,61,8,8,53,85,23
15,90,85,12,7,54,83,30
8,81,56,1,3,42,68,31
14,71,51,5,1,41,71,25
8,75,23,13,4,41,84,18
8,89,31,8,4,45,89,22
12,76,37,9,2,42,81,18
14,83,39,7,6,42,71,25
32,87,117,40,17,88,118,77
20,90,123,38,17,86,121,64
39,86,110,39,15,94,127,67
33,116,119,51,17,96,128,80
30,100,113,53,21,85,126,87
58,117,125,64,35,95,125,80
45,100,114,55,21,101,130,82
44,110,116,60,33,86,131,94
38,107,98,38,29,102,134,83
38,102,94,38,23,88,142,85
35,106,105,44,16,89,117,73
19,99,99,25,9,70,130,64
26,107,111,28,16,95,139,86
47,111,93,27,22,78,139,106
29,117,99,53,13,96,130,85
42,121,105,45,12,102,133,110
29,110,130,68,21,101,129,78
22,109,90,25,24,79,125,78
23,103,93,33,10,88,128,72
22,105,98,37,19,68,129,74
49,122,108,47,33,73,127,90
66,75,24,10,1,50,56,28
36,21,6,6,1,37,38,7
41,33,16,15,5,24,42,11
51,38,14,9,1,51,61,12
58,55,15,12,1,50,66,21
44,46,11,10,2,53,44,16
73,55,24,16,2,61,86,27
57,58,22,6,2,42,58,12
59,51,5,6,0,47,59,19
41,42,4,5,1,32,36,11
58,72,11,4,2,46,49,16
48,41,27,7,0,55,85,19
44,33,2,4,0,38,47,10
53,39,6,9,1,45,63,20
62,79,15,1,0,60,71,18
47,59,6,8,0,56,55,12
48,41,11,7,2,45,67,11
50,41,7,8,0,47,53,8
64,73,12,7,0,52,75,21
72,89,20,10,1,59,71,27
69,62,23,8,1,52,57,21
61,65,11,3,2,61,67,19
67,74,26,11,0,74,81,22
75,73,16,13,0,81,96,23
53,69,17,25,3,40,91,16
57,82,20,25,3,31,84,18
56,77,20,11,2,41,104,14
53,79,15,20,1,44,76,12
57,96,28,13,3,17,0,9
40,64,15,17,0,17,65,4
48,71,5,13,0,16,71,5
59,80,20,17,3,19,83,9
73,86,16,6,0,14,84,10
68,82,16,8,1,18,57,4
57,72,10,12,1,18,74,5
76,101,26,8,0,20,72,18
53,76,21,18,0,18,87,6
72,95,26,12,1,6,36,15
64,84,17,14,0,20,103,8
70,98,22,8,2,20,102,8
70,98,19,18,0,24,92,15
47,68,54,34,26,106,115,50
23,38,38,22,26,90,103,26
8,16,28,6,10,84,112,24
30,51,28,5,7,88,110,25
31,51,39,12,11,104,122,35
30,58,50,11,11,113,123,40
62,80,49,36,36,105,119,52
34,56,42,21,22,117,121,36
38,52,45,14,19,111,118,24
53,68,47,18,25,113,133,54
32,49,48,16,18,118,129,37
40,59,50,15,27,115,129,38
45,68,45,22,20,116,121,51
58,83,64,40,36,111,128,42
56,76,64,27,26,111,136,39
49,66,59,20,24,119,131,53
60,69,65,25,24,121,129,47
61,83,63,37,41,122,124,52
71,101,58,22,17,102,125,47
63,86,68,36,48,114,134,54
14,51,12,100,35,45,84,19
28,80,25,100,39,25,90,9
18,70,14,94,48,16,93,2
23,75,18,92,29,8,56,5
8,58,11,93,34,34,86,10
28,93,14,82,23,29,99,14
24,91,15,98,33,30,83,8
35,83,31,99,42,41,111,34
15,73,12,96,32,41,100,17
19,77,16,99,32,27,76,9
17,76,10,96,32,17,58,5
11,75,11,95,35,23,98,6
18,74,10,95,43,20,85,18
17,82,13,91,31,14,84,1
26,89,13,91,30,8,74,6
24,92,17,92,31,44,91,10
21,80,16,91,36,33,80,10
18,87,21,94,32,23,73,13
15,60,22,85,36,17,76,7
47,101,21,92,35,16,111,8
64,51,73,94,21,13,66,48
54,56,112,105,27,10,33,38
32,49,92,114,27,18,70,50
24,28,57,80,9,22,51,43
22,28,65,70,13,6,66,35
57,53,101,112,19,18,65,75
33,26,93,95,18,14,59,44
48,24,85,105,12,15,63,54
13,32,77,98,55,5,49,58
18,30,48,103,63,3,48,70
22,42,85,103,63,12,48,59
12,45,69,109,61,1,47,61
16,35,37,93,54,2,48,53
8,31,51,105,53,6,33,45
10,26,48,107,56,7,47,61
24,33,36,96,50,8,41,54
38,87,54,66,26,41,69,16
29,54,38,61,17,52,78,15
35,52,48,71,5,61,74,24
18,34,43,74,11,55,73,8
21,38,54,66,8,50,76,34
31,54,35,75,26,51,66,18
28,42,38,60,11,54,71,28
34,70,54,66,24,55,75,35
39,65,58,76,28,58,93,42
39,61,46,72,22,59,88,42
31,79,121,89,44,57,82,68
28,41,87,76,41,49,92,80
23,87,111,86,45,52,83,58
34,80,125,105,44,87,104,74
25,47,114,84,49,71,95,64
25,64,110,104,42,75,88,48
14,72,116,99,37,70,98,45
27,71,124,110,36,67,102,58
17,68,111,88,40,43,93,50
22,71,121,99,35,71,97,75
35,65,109,92,52,71,106,75
29,76,114,102,41,64,93,69
38,63,123,108,50,74,97,83
26,58,118,101,41,67,105,70
39,57,114,89,48,71,92,77
32,52,100,100,42,63,101,78
29,60,111,98,42,77,99,94
45,76,126,101,51,62,94,82
30,57,117,103,49,48,84,74
33,44,112,106,47,38,79,77
23,103,104,29,32,65,53,49
27,103,100,29,30,67,93,63
38,104,94,37,37,71,93,71
31,109,104,41,36,52,78,58
48,98,104,38,36,62,68,54
39,104,107,41,35,56,65,48
42,96,121,53,37,59,70,64
35,103,97,47,39,56,86,70
35,97,112,46,41,55,87,85
49,81,113,45,48,71,95,84
69,37,99,61,48,87,87,77
64,24,102,60,24,58,107,81
69,20,112,71,36,57,89,77
48,29,94,54,18,62,107,96
71,45,106,59,24,55,96,96
36,40,90,39,7,51,95,72
58,20,95,45,14,48,78,63
36,48,90,29,9,34,81,60
47,41,105,41,12,43,80,62
32,40,77,36,5,40,85,64
15,45,88,35,3,49,80,49
13,37,63,48,9,40,82,29
2,34,60,36,5,30,79,35
8,49,76,42,4,46,97,50
7,52,76,34,6,35,104,37
10,50,71,36,1,39,90,32
10,45,77,38,3,46,109,55
5,39,63,45,5,44,96,50
14,57,83,43,4,55,98,53
9,30,74,47,8,43,102,45
