electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
18,51,49,17,37,67,47,15
20,44,39,13,25,54,48,17
13,56,52,22,32,53,30,17
15,55,50,18,30,62,52,14
18,42,41,13,27,57,44,15
24,69,42,13,39,62,48,17
30,55,43,13,41,66,43,25
18,68,51,17,38,65,41,13
17,59,40,18,30,63,35,14
20,61,44,20,35,60,41,14
22,69,35,15,38,59,49,18
23,59,45,15,45,64,42,18
23,54,23,11,49,73,56,18
20,58,29,14,36,64,45,19
17,37,36,16,26,51,41,25
25,65,29,22,37,57,50,26
16,83,116,96,21,0,0,0
63,121,129,93,69,87,33,35
63,111,128,96,61,63,36,29
66,126,121,103,70,70,47,37
71,122,130,89,58,54,41,46
58,127,135,80,58,61,49,33
76,126,131,84,57,66,49,47
63,123,120,98,69,76,57,51
69,126,124,95,74,75,51,48
69,126,126,82,66,73,51,45
90,131,138,82,77,80,66,53
83,139,135,93,88,91,55,42
75,130,123,80,64,76,54,52
79,137,137,82,70,78,46,44
72,127,132,101,66,75,54,51
60,129,110,86,47,69,42,46
72,127,127,83,67,68,49,45
71,110,126,93,63,72,47,41
79,122,127,91,71,80,59,53
67,116,123,91,62,80,66,45
62,116,101,71,69,83,55,54
63,102,110,67,63,71,48,43
58,97,107,80,59,74,59,58
74,96,104,59,61,83,60,52
69,106,115,63,59,67,50,48
65,118,117,76,58,61,53,50
75,124,120,76,67,79,69,47
79,125,113,54,55,63,55,49
78,109,114,53,66,66,53,44
65,104,104,57,54,58,39,47
64,106,119,58,72,75,57,49
67,114,121,41,56,64,49,45
68,112,126,48,46,63,53,50
73,109,121,49,67,81,65,49
57,114,124,61,54,75,64,43
60,119,106,53,63,68,48,40
69,114,111,64,67,74,61,52
76,108,108,55,58,74,53,53
63,102,123,53,60,62,63,50
61,105,121,74,54,62,48,42
58,119,102,62,59,63,65,49
78,118,111,58,59,59,48,41
70,111,99,60,57,72,51,39
77,123,114,62,56,71,50,56
68,117,108,63,49,59,50,54
77,122,122,62,67,71,43,45
68,125,119,71,57,65,51,37
65,105,112,45,49,58,46,46
73,118,119,41,50,77,57,54
76,104,112,52,63,65,51,44
65,128,107,45,45,63,52,50
77,120,120,71,62,73,51,50
83,121,122,59,67,67,58,53
58,118,118,60,59,66,40,38
7,74,40,3,22,53,27,5
14,64,42,3,17,42,32,2
5,48,63,7,18,56,24,1
3,55,59,3,7,58,11,0
10,53,47,8,16,59,31,3
2,36,38,5,16,57,27,3
7,50,36,8,17,55,21,3
7,43,36,2,12,52,22,3
8,51,46,7,23,62,31,1
14,39,30,3,14,52,20,0
5,43,41,7,16,62,28,2
3,48,35,4,21,74,27,1
4,31,51,8,24,63,26,1
1,49,42,4,15,59,22,10
7,58,45,5,15,57,20,0
7,35,32,3,18,54,29,1
2,48,29,4,13,62,29,1
1,56,39,4,8,69,20,1
5,47,34,7,5,62,19,4
1,37,36,4,11,68,18,1
28,93,108,43,46,78,30,33
28,96,105,57,38,91,52,45
38,92,102,52,53,102,69,75
35,92,109,49,27,81,58,54
23,76,98,32,31,78,38,44
29,77,118,41,32,84,48,55
31,82,119,66,34,85,46,56
33,97,103,49,47,85,63,42
26,100,110,32,40,101,61,56
27,80,95,42,29,93,56,48
23,92,111,48,29,89,42,47
18,63,119,42,25,85,45,33
42,80,106,42,48,86,66,53
19,84,88,35,33,89,50,27
26,83,106,44,53,92,56,35
38,90,133,58,39,92,62,73
50,101,104,45,57,111,78,50
41,104,97,57,68,105,89,58
17,88,81,18,23,71,51,30
30,88,88,42,43,94,69,60
32,95,90,37,43,104,69,42
40,58,13,7,20,8,10,7
45,65,13,3,8,35,8,10
51,66,15,2,5,44,18,3
48,70,12,3,2,32,5,9
54,87,21,2,0,2,1,4
49,72,18,1,1,2,0,9
60,75,18,1,0,4,0,5
41,82,9,1,0,22,4,3
59,86,14,2,1,44,3,4
61,87,15,3,0,33,5,10
44,103,25,5,5,13,3,4
53,82,15,1,2,24,1,12
75,81,10,1,3,47,8,9
62,92,22,5,2,24,8,10
51,89,10,1,3,29,3,3
85,91,19,4,1,13,1,13
75,94,25,4,3,11,25,18
71,77,19,7,5,40,10,14
64,92,23,3,2,33,13,2
47,57,19,21,22,18,18,6
40,51,23,15,23,28,16,6
38,45,13,23,13,19,5,0
49,46,13,21,8,15,10,8
40,37,12,19,14,39,14,1
53,68,20,14,8,11,7,7
13,20,26,20,36,42,18,0
12,4,32,13,12,20,9,2
18,21,57,14,24,32,16,2
23,30,58,26,31,57,18,1
24,24,57,16,18,28,6,2
21,25,58,17,46,39,18,4
